id,Date,Time,type,steps,distance
1253122540,2014-03-24,23:00:41,steps,2464,1798.7421875,
1256013679,2014-03-23,23:19:03,steps,20662,15263.02587890625,
1251874669,2014-03-23,00:35:45,steps,6560,4845.869293212891,
1220800272,2014-03-21,20:58:48,steps,6414,4717.378387451172,
1248347765,2014-03-20,23:47:58,steps,4078,3004.7610778808594,
1248478363,2014-03-19,23:46:39,steps,3465,2558.809314727783,
1237848402,2014-03-18,23:51:24,steps,6121,4506.8460693359375,
1231006972,2014-03-17,23:43:45,steps,4536,3350.476318359375,
1224297455,2014-03-16,23:21:23,steps,4555.6385498046875,3362.5159912109375,
1219948723,2014-03-15,22:57:22,steps,6687,4939.052001953125,
1217784629,2014-03-14,23:02:42,steps,4363,3222.164794921875,
1211838152,2014-03-13,23:58:13,steps,4686,3461.0963134765625,
1201167380,2014-03-12,23:58:29,steps,4529,3341.8802490234375,
1204199952,2014-03-11,22:40:27,steps,3404,2514.2208251953125,
1199264733,2014-03-10,23:45:52,steps,5171,3818.63134765625,
1197797938,2014-03-09,22:07:30,steps,2725,2012.95751953125,
1196848812,2014-03-09,00:37:48,steps,0,0,
1191947113,2014-03-08,22:58:09,steps,4667,3447.514892578125,
1146730384,2014-03-07,23:58:54,steps,10203,7536.005126953125,
1160254293,2014-03-06,23:41:24,steps,4874,3586.8755950927734,
1151031738,2014-03-05,21:19:13,steps,833,615.3370361328125,
1164192128,2014-03-04,23:39:50,steps,5015,3703.770263671875,
1171813784,2014-03-03,21:19:16,steps,1271,907.8623046875,
1162030023,2014-03-02,22:55:21,steps,2063,1510.55517578125,
1169379211,2014-03-01,21:04:22,steps,2486,1836.4080810546875,
1151679120,2014-02-28,22:46:07,steps,1670,1233.62890625,
1169937210,2014-02-27,23:58:43,steps,4060,2993.6182250976562,
1164176971,2014-02-26,22:48:49,steps,3306.75048828125,2428.515625,
1151280004,2014-02-25,23:59:46,steps,2543,1873.343017578125,
1156017882,2014-02-24,23:10:14,steps,10537,7782.540771484375,
1131220754,2014-02-23,23:47:29,steps,5373,3966.8924255371094,
1124425627,2014-02-22,23:56:18,steps,982,717.3663940429688,
1138841700,2014-02-21,23:26:47,steps,2925,2160.69580078125,
1097114154,2014-02-20,23:47:31,steps,6476.3115234375,4784.05322265625,
1099975848,2014-02-19,22:29:39,steps,2606,1925.0508728027344,
1129648093,2014-02-18,18:25:39,steps,1814,1339.2626037597656,
1111861161,2014-02-17,20:17:46,steps,2002,1458.19384765625,
1098783633,2014-02-16,16:38:59,steps,1392,1028.26904296875,
1080986569,2014-02-15,23:47:37,steps,2870,2120.0690307617188,
1100843414,2014-02-14,23:58:00,steps,3769,2783.4885864257812,
1102895152,2014-02-13,23:33:46,steps,2692,1988.4637451171875,
1102379278,2014-02-12,23:03:24,steps,5172,3819.871826171875,
1090524308,2014-02-11,23:30:36,steps,3812,2815.9234008789062,
1092613116,2014-02-10,23:59:45,steps,5440,4018.3641967773438,
1091375654,2014-02-09,20:37:13,steps,6699,4946.980220794678,
1092254702,2014-02-08,17:59:58,steps,1283,947.752082824707,
1092961807,2014-02-07,23:25:31,steps,3680,2717.673698425293,
1080998328,2014-02-06,22:47:42,steps,6089,4497.216064453125,
1066093531,2014-02-05,19:27:10,steps,6887,5086.8394775390625,
1089267954,2014-02-04,23:46:26,steps,5260,3884.75927734375,
1081831912,2014-02-03,23:59:00,steps,6561,4845.628173828125,
1085242191,2014-02-02,22:10:56,steps,4726,3491.096710205078,
1080889663,2014-02-01,23:43:03,steps,3782,2791.2793579101562,
1078698634,2014-01-31,23:54:37,steps,2952,2168.822265625,
1075379222,2014-01-30,23:50:03,steps,7082.203125,5231.622009277344,
1074430530,2014-01-29,23:48:48,steps,8077,5955.349670410156,
1060423413,2014-01-28,23:47:51,steps,6217,4592.4912109375,
1071186594,2014-01-27,22:12:17,steps,7150.181640625,5281.8369140625,
1045344776,2014-01-26,21:06:48,steps,3035,2233.736328125,
1055543379,2014-01-25,23:59:04,steps,1441,1063.6376953125,
1072039289,2014-01-24,23:46:16,steps,6229,4600.5595703125,
1059429089,2014-01-23,23:58:32,steps,7141,5274.363464355469,
1062291479,2014-01-22,23:11:04,steps,6536,4642.323181152344,
1062204927,2014-01-21,23:56:56,steps,140,98.06449890136719,
650746625,2013-07-17,00:00:00,steps,0,,
640061802,2013-07-05,13:18:43,steps,733.5966796875,517.5564575195312,
639298151,2013-07-04,00:00:00,steps,,,
