name,air_temp,skin_temp,calories,gsr,heart_rate,steps
493,84.7,88.7,1.0,0.674,44,0
494,84.7,88.8,1.0,0.673,44,0
495,84.7,88.9,1.1,0.679,43,0
496,85.0,88.9,1.0,0.644,42,0
497,85.1,88.9,0.9,0.665,42,0
498,84.8,88.9,1.0,0.664,42,0
499,84.7,89.0,1.1,0.664,43,0
500,84.7,89.1,1.0,0.65,43,0
501,84.7,89.1,0.9,0.659,44,0
502,84.7,89.1,1.0,0.664,43,0
503,84.7,89.1,1.0,0.655,43,0
504,84.7,89.1,1.0,0.653,44,0
505,84.7,89.1,1.0,0.654,43,0
506,84.7,89.1,0.9,0.657,43,0
507,84.7,89.1,1.3,0.396,55,0
508,84.7,89.0,1.1,0.31,39,0
509,84.7,88.9,1.0,0.325,40,0
510,84.7,88.9,1.4,0.529,51,0
511,85.0,89.0,1.5,0.474,64,0
512,85.1,88.9,1.3,0.0678,56,0
513,85.1,88.9,1.1,0.11,44,0
514,85.4,88.9,0.9,0.127,42,0
515,85.9,88.9,0.9,0.138,41,0
516,86.0,89.0,1.1,0.173,41,0
517,86.0,89.1,1.0,0.188,41,0
518,86.3,89.2,1.1,0.195,41,0
519,86.5,89.4,1.1,0.196,42,0
520,86.5,89.4,1.0,0.19,42,0
521,86.5,89.6,1.2,0.19,43,0
522,86.5,89.6,1.1,0.165,48,0
523,86.8,89.8,1.1,0.348,41,0
524,86.9,90.0,1.1,0.481,39,0
525,87.2,90.3,1.1,0.476,40,0
526,87.7,90.4,1.0,0.475,42,0
527,88.1,90.6,1.1,0.477,42,0
528,88.2,90.7,1.0,0.472,44,0
529,88.6,90.8,1.0,0.466,42,0
530,88.7,91.0,1.4,0.418,45,0
531,88.4,91.0,1.4,0.49,42,0
532,88.2,91.0,1.0,0.383,51,0
533,88.2,91.0,1.2,0.569,44,0
534,88.6,91.0,1.0,0.602,44,0
535,89.0,91.2,0.9,0.619,46,0
536,89.2,91.2,1.0,0.603,46,0
537,89.5,91.3,1.1,0.613,47,0
538,89.9,91.4,1.0,0.612,47,0
539,90.1,91.5,1.2,0.615,45,0
540,90.1,91.5,1.2,0.393,57,0
541,90.1,91.6,1.0,0.4,43,0
542,90.1,91.6,1.1,0.405,45,0
543,90.1,91.6,1.1,0.396,45,0
544,90.1,91.6,1.0,0.391,46,0
545,90.1,91.6,1.1,0.386,47,0
546,90.1,91.6,1.0,0.382,47,0
547,90.1,91.6,1.1,0.385,49,0
548,90.1,91.6,1.1,0.371,41,0
549,90.1,91.6,1.1,0.374,42,0
550,90.1,91.6,1.0,0.372,43,0
551,90.1,91.6,1.1,0.381,44,0
552,90.1,91.6,1.1,0.392,44,0
553,90.1,91.7,1.4,0.294,48,0
554,89.1,91.8,1.0,0.351,40,0
555,88.4,91.5,1.4,0.207,41,0
556,87.9,91.2,1.1,0.253,42,0
557,87.5,91.0,1.0,0.283,43,0
558,87.0,90.8,1.0,0.324,42,0
559,86.6,90.6,1.0,0.341,42,0
560,86.5,90.4,1.1,0.338,42,0
561,86.5,90.3,1.1,0.388,42,0
562,86.5,90.3,1.0,0.394,42,0
563,86.5,90.1,1.1,0.386,43,0
564,86.5,90.0,1.1,0.399,42,0
565,86.5,90.0,1.0,0.491,41,0
566,86.1,90.0,1.1,0.561,43,0
567,85.7,90.0,1.0,0.568,43,0
568,85.6,89.8,1.1,0.545,44,0
569,85.2,89.8,1.0,0.536,44,0
570,84.8,89.7,1.0,0.549,44,0
571,84.7,89.6,1.1,0.542,42,0
572,84.3,89.5,1.0,0.552,42,0
573,84.2,89.3,1.4,0.321,43,0
574,84.5,88.9,1.1,0.204,40,0
575,85.0,89.1,1.0,0.212,42,0
576,85.4,89.1,1.1,0.218,41,0
577,85.9,89.3,1.1,0.23,43,0
578,86.3,89.4,1.1,0.201,41,0
579,86.5,89.6,1.0,0.22,42,0
580,86.8,89.7,1.1,0.224,42,0
581,87.2,89.9,1.1,0.235,42,0
582,87.3,90.0,1.0,0.234,43,0
583,87.7,90.2,1.1,0.234,42,0
584,87.8,90.3,1.1,0.236,43,0
585,88.1,90.5,1.0,0.239,41,0
586,88.2,90.6,1.1,0.237,43,0
587,88.2,90.7,1.1,0.239,44,0
588,88.6,90.8,1.1,0.253,42,0
589,88.7,91.0,1.0,0.25,44,0
590,88.7,91.0,1.1,0.254,44,0
591,88.7,91.2,1.1,0.25,44,0
592,89.0,91.2,1.0,0.254,44,0
593,89.2,91.2,1.1,0.252,46,0
594,89.2,91.4,1.1,0.252,46,0
595,89.2,91.4,1.0,0.251,46,0
596,89.2,91.5,1.1,0.253,46,0
597,89.5,91.6,1.1,0.251,45,0
598,89.6,91.6,1.0,0.253,45,0
599,89.6,91.6,1.1,0.252,45,0
600,89.6,91.8,1.1,0.257,45,0
601,89.6,91.9,1.0,0.271,44,0
602,89.6,91.9,1.1,0.263,44,0
603,89.6,91.9,1.1,0.261,46,0
604,89.9,91.9,1.0,0.26,45,0
605,90.1,91.9,1.1,0.261,44,0
606,90.1,92.1,1.1,0.263,47,0
607,90.1,92.1,1.0,0.259,46,0
608,90.1,92.1,1.3,0.338,49,0
609,90.1,92.1,1.1,0.48,42,0
610,89.7,92.1,1.1,0.484,44,0
611,89.6,92.1,1.0,0.481,44,0
612,89.6,92.1,1.1,0.474,41,0
613,89.6,92.1,1.2,0.464,45,0
614,89.6,92.0,1.0,0.412,44,0
615,89.6,92.1,1.2,0.499,44,0
616,89.6,92.3,1.1,0.576,43,0
617,89.6,92.3,1.1,0.564,43,0
618,89.6,92.3,1.1,0.558,43,0
619,89.6,92.3,1.1,0.557,43,0
620,89.6,92.3,1.0,0.554,40,0
621,89.6,92.3,1.1,0.534,46,0
622,89.6,92.3,1.1,0.543,47,0
623,89.6,92.3,0.9,0.536,44,0
624,89.6,92.3,0.9,0.511,46,0
625,89.9,92.3,0.9,0.531,47,0
626,90.1,92.3,1.1,0.546,45,0
627,90.1,92.3,1.3,0.295,52,0
628,90.1,92.3,1.0,0.272,42,0
629,90.1,92.3,1.1,0.274,42,0
630,90.1,92.3,1.1,0.272,45,0
631,90.1,92.3,1.1,0.267,44,0
632,90.1,92.3,1.0,0.258,45,0
633,90.1,92.3,1.1,0.256,47,0
634,90.1,92.3,1.1,0.251,46,0
635,90.1,92.3,1.3,0.339,45,0
