timestamp,heartrate,steps,calories,gsr,skin_temp,air_temp
48,0,1.0,2.9,88.5,82.8,
47,0,1.1,3.22,88.5,82.8,
47,0,1.1,3.39,88.5,82.8,
47,0,1.0,3.59,88.5,82.8,
47,0,1.1,3.71,88.5,82.8,
47,0,1.1,3.86,88.5,82.8,
47,0,1.0,3.95,88.5,82.8,
47,0,1.1,4.07,88.5,82.8,
47,0,1.1,4.2,88.5,82.8,
47,0,1.0,4.43,88.5,82.8,
47,0,0.9,4.73,88.5,82.8,
48,0,1.0,4.91,88.5,82.8,
47,0,0.9,4.94,88.5,82.8,
47,0,0.9,5.06,88.5,82.8,
48,0,1.4,5.51,88.5,82.8,
40,0,1.1,5.55,88.5,82.8,
42,0,1.1,5.24,88.5,82.8,
42,0,1.1,4.96,88.5,82.8,
43,0,1.1,4.75,88.5,82.8,
46,0,1.0,4.55,88.5,83.2,
45,0,1.3,4.79,88.5,83.3,
45,0,1.0,7.24,88.7,83.6,
46,0,1.1,6.88,88.9,84.4,
45,0,1.0,6.54,89.1,85.0,
46,0,1.1,6.18,89.2,85.7,
49,0,1.2,5.69,89.4,86.3,
50,0,1.1,5.23,89.6,86.5,
44,0,1.1,5.03,89.8,86.5,
48,0,1.1,4.67,89.8,86.1,
45,0,1.0,4.54,89.8,86.0,
47,0,1.1,4.37,89.9,86.0,
45,0,1.0,4.2,89.9,86.0,
50,0,1.1,4.12,89.8,86.0,
46,0,1.0,3.91,89.8,86.0,
48,0,1.1,3.81,89.8,86.0,
48,0,1.0,3.66,89.8,86.0,
48,0,1.0,3.57,89.8,86.0,
48,0,1.2,3.25,89.8,86.0,
55,0,1.0,2.76,89.8,85.7,
47,0,1.1,2.61,89.7,85.6,
54,0,1.4,2.01,89.5,85.2,
44,0,1.1,1.21,89.4,85.1,
45,0,1.1,1.16,89.2,85.1,
50,0,1.2,1.09,89.1,85.1,
57,0,1.2,1.08,89.1,85.1,
47,0,1.1,1.01,89.1,85.1,
49,0,1.1,1.01,89.1,85.1,
46,0,1.1,0.971,89.1,85.1,
43,0,1.3,2.52,89.3,85.1,
40,0,1.1,2.85,89.4,84.8,
39,0,1.0,2.81,89.4,85.0,
39,0,1.0,2.69,89.4,85.1,
42,0,1.2,2.74,89.4,85.4,
40,0,1.0,2.89,89.4,85.6,
43,0,1.1,2.8,89.6,85.9,
43,0,1.0,2.84,89.6,86.3,
40,0,1.5,0.595,89.3,86.5,
41,0,1.1,0.364,89.1,86.5,
44,0,1.0,0.381,89.1,86.8,
42,0,1.1,0.389,89.1,86.9,
43,0,1.1,0.374,89.1,86.9,
43,0,1.1,0.386,89.3,87.2,
45,0,1.1,0.378,89.4,87.3,
42,0,1.1,0.366,89.6,87.3,
42,0,1.1,0.361,89.6,87.7,
47,0,1.3,0.335,89.8,87.8,
43,0,1.0,0.351,90.1,87.8,
45,0,1.1,0.392,90.3,87.8,
44,0,1.0,0.415,90.4,88.1,
42,0,0.9,0.434,90.5,88.2,
41,0,1.1,0.44,90.6,88.2,
44,0,1.1,0.467,90.7,88.2,
51,0,1.2,0.482,90.8,88.6,
46,0,1.0,0.487,91.0,88.7,
47,0,1.2,0.508,91.0,88.7,
49,0,1.0,0.603,91.2,89.0,
43,0,1.1,0.626,91.2,89.2,
43,0,1.0,0.609,91.2,89.2,
50,0,1.3,0.725,91.4,89.5,
42,0,1.0,0.975,91.6,90.2,
44,0,1.1,1.04,91.8,91.1,
45,0,1.1,1.14,92.1,91.7,
45,0,1.0,1.14,92.4,92.2,
46,0,1.1,1.16,92.7,92.6,
44,0,1.1,1.17,92.9,92.8,
44,0,1.0,1.19,93.1,93.1,
46,0,1.1,1.22,93.3,93.2,
47,0,1.1,1.23,93.4,93.2,
47,0,1.1,1.26,93.6,93.5,
46,0,1.0,1.29,93.7,93.7,
47,0,1.1,1.3,93.9,93.7,
46,0,1.1,1.31,94.0,93.7,
48,0,1.0,1.33,94.1,94.0,
47,0,1.1,1.35,94.1,94.1,
46,0,1.1,1.37,94.3,94.1,
47,0,1.0,1.39,94.3,94.1,
47,0,1.1,1.38,94.4,94.1,
47,0,1.1,1.42,94.5,94.4,
47,0,1.0,1.41,94.5,94.6,
48,0,1.1,1.43,94.6,94.6,
48,0,1.1,1.43,94.8,94.6,
48,0,1.1,1.4,94.8,94.6,
53,0,1.3,0.615,94.8,94.2,
43,0,1.1,0.579,94.7,93.5,
44,0,1.0,0.554,94.5,92.6,
45,0,1.1,0.566,94.2,91.7,
45,0,1.1,0.533,94.0,91.1,
44,0,1.0,0.51,93.7,90.3,
44,0,1.1,0.508,93.4,89.7,
43,0,1.0,0.475,93.2,89.3,
45,0,1.1,0.495,92.9,89.2,
44,0,1.1,0.482,92.8,88.8,
46,0,1.0,0.473,92.5,88.4,
45,0,1.1,0.472,92.4,88.2,
44,0,1.1,0.464,92.3,88.2,
45,0,1.1,0.459,92.1,87.9,
45,0,1.0,0.458,92.1,87.8,
44,0,1.1,0.458,91.9,87.8,
45,0,1.1,0.444,91.9,87.8,
44,0,1.0,0.448,91.9,87.8,
44,0,1.1,0.441,91.8,87.5,
45,0,1.0,0.429,91.6,87.3,
45,0,1.1,0.439,91.6,87.3,
44,0,1.1,0.421,91.6,87.3,
45,0,1.0,0.416,91.5,87.3,
45,0,1.1,0.42,91.4,87.3,
44,0,1.1,0.41,91.4,87.3,
44,0,1.0,0.417,91.4,87.3,
46,0,1.1,0.415,91.4,87.3,
45,0,1.0,0.414,91.4,87.3,
45,0,1.1,0.413,91.3,87.0,
45,0,1.1,0.41,91.2,86.9,
45,0,1.0,0.41,91.2,86.9,
45,0,1.1,0.399,91.2,86.9,
46,0,1.1,0.398,91.2,86.9,
44,0,1.0,0.393,91.2,86.9,
45,0,1.1,0.392,91.2,86.9,
45,0,1.1,0.404,91.2,86.9,
46,0,1.0,0.405,91.1,86.9,
45,0,1.1,0.384,91.0,86.9,
46,0,1.1,0.383,91.0,86.9,
46,0,1.0,0.393,91.0,86.9,
45,0,1.1,0.381,91.0,86.9,
45,0,1.1,0.362,91.0,86.9,
45,0,1.1,0.378,90.9,86.9,
46,0,1.0,0.387,90.7,86.9,
46,0,1.1,0.379,90.7,86.9,
46,0,1.1,0.367,90.7,86.6,
46,0,1.0,0.376,90.7,86.8,
46,0,1.1,0.383,90.7,86.6,
45,0,1.0,0.381,90.6,86.5,
45,0,1.1,0.369,90.5,86.8,
45,0,1.1,0.372,90.5,86.6,
46,0,1.0,0.37,90.5,86.5,
46,0,1.1,0.365,90.5,86.5,
45,0,1.1,0.361,90.5,86.5,
46,0,1.0,0.371,90.5,86.5,
46,0,1.1,0.374,90.5,86.5,
46,0,1.1,0.37,90.5,86.5,
45,0,1.0,0.363,90.5,86.5,
45,0,1.1,0.367,90.4,86.5,
49,0,1.4,0.523,90.4,86.5,
46,0,0.9,0.82,90.5,86.5,
41,0,1.1,0.839,90.5,86.8,
42,0,1.0,0.863,90.5,87.2,
42,0,1.1,0.899,90.7,87.7,
42,0,1.0,0.91,90.7,87.8,
43,0,1.0,0.917,90.7,88.1,
43,0,1.0,0.916,90.9,88.6,
44,0,1.2,0.911,91.0,88.7,
57,0,1.0,0.745,91.0,88.7,
43,0,1.0,0.727,91.2,88.4,
43,0,1.0,0.703,91.2,87.9,
44,0,1.0,0.703,91.1,87.5,
42,0,1.2,0.648,90.9,87.3,
43,0,1.0,0.61,90.6,87.0,
42,0,1.0,0.616,90.4,86.6,
44,0,1.1,0.562,90.2,86.5,
45,0,1.0,0.584,90.0,86.1,
47,0,1.0,0.579,90.0,86.0,
45,0,1.1,0.574,89.8,86.0,
47,0,1.0,0.558,89.6,86.0,
46,0,1.0,0.559,89.6,85.7,
47,0,1.1,0.561,89.4,85.6,
45,0,0.9,0.542,89.4,85.6,
45,0,1.2,0.544,89.2,85.2,
57,0,1.1,0.524,89.1,85.1,
48,0,1.2,0.528,89.1,85.1,
60,0,1.1,0.508,89.0,84.8,
47,0,1.2,0.529,88.9,84.3,
44,0,1.4,0.347,88.5,83.9,
45,0,1.5,0.324,88.2,83.4,
None,0,1.5,0.548,88.2,83.3,
59,0,1.5,0.681,88.2,83.0,
46,0,1.0,0.653,88.2,82.8,
46,0,1.1,0.686,88.2,83.2,
44,0,0.9,0.659,88.2,83.3,
44,0,1.1,0.639,88.2,83.3,
45,0,1.0,0.654,88.2,83.6,
44,0,1.0,0.666,88.3,83.8,
45,0,1.1,0.652,88.5,83.8,
44,0,1.0,0.667,88.5,84.1,
44,0,1.1,0.669,88.5,84.2,
45,0,1.1,0.67,88.7,84.2,
44,0,1.0,0.678,88.7,84.5,
44,0,1.0,0.674,88.7,84.7,
44,0,1.0,0.673,88.8,84.7,
43,0,1.1,0.679,88.9,84.7,
42,0,1.0,0.644,88.9,85.0,
42,0,0.9,0.665,88.9,85.1,
42,0,1.0,0.664,88.9,84.8,
43,0,1.1,0.664,89.0,84.7,
43,0,1.0,0.65,89.1,84.7,
44,0,0.9,0.659,89.1,84.7,
43,0,1.0,0.664,89.1,84.7,
43,0,1.0,0.655,89.1,84.7,
